test_flag,webflow_id,session_id,page_num,page_name,time_spent,completed_order_flag
pre_test,A,1e5,1,order_details,2.308289934225532,0
pre_test,A,1e5,2,payment,1.8577112530589677,0
pre_test,A,100001,1,order_details,4.017742309868255,0
pre_test,A,100002,1,order_details,5.264426038176444,0
pre_test,A,100002,2,payment,1.7370383941495082,0
pre_test,A,100003,1,order_details,2.4950396549722713,0
pre_test,A,100004,1,order_details,5.9125955564173465,0
pre_test,A,100004,2,payment,2.778844735800191,0
pre_test,A,100005,1,order_details,2.866942496327133,0
pre_test,A,100006,1,order_details,0.506002501063259,0
pre_test,A,100006,2,payment,2.147467371168402,0
pre_test,A,100007,1,order_details,2.3667830471882505,0
pre_test,A,100008,1,order_details,4.813026034956484,0
pre_test,A,100008,2,payment,2.0902089095153533,0
pre_test,A,100009,1,order_details,4.266365942280634,0
pre_test,A,100009,2,payment,1.159739367842084,0
pre_test,A,100010,1,order_details,3.915677928378048,0
pre_test,A,100010,2,payment,1.3927952395006689,0
pre_test,A,100011,1,order_details,3.2260862978759404,0
pre_test,A,100012,1,order_details,4.776618090821744,0
pre_test,A,100012,2,payment,2.4161236684014202,0
pre_test,A,100013,1,order_details,4.471504318065318,0
pre_test,A,100013,2,payment,1.372898077789201,0
pre_test,A,100014,1,order_details,2.803260547175781,0
pre_test,A,100015,1,order_details,5.857507253748081,0
pre_test,A,100016,1,order_details,2.7393146533636124,0
pre_test,A,100017,1,order_details,3.2613149831095836,0
pre_test,A,100017,2,payment,1.2381737595127158,0
pre_test,A,100017,3,confirmation,0,1
pre_test,A,100018,1,order_details,4.152380506158581,0
pre_test,A,100018,2,payment,2.276349949986277,0
pre_test,A,100019,1,order_details,5.193578670617389,0
pre_test,A,100019,2,payment,0.5243375220089601,0
pre_test,A,100020,1,order_details,3.6508722706429735,0
pre_test,A,100021,1,order_details,3.068764932567567,0
pre_test,A,100021,2,payment,1.6797283822545181,0
pre_test,A,100022,1,order_details,2.1234431520063057,0
pre_test,A,100022,2,payment,2.517776455537186,0
pre_test,A,100023,1,order_details,3.801047062477063,0
pre_test,A,100024,1,order_details,2.974678782827294,0
pre_test,A,100025,1,order_details,1.1513984821024086,0
pre_test,A,100025,2,payment,1.0240281279293872,0
pre_test,A,100026,1,order_details,4.542411268270546,0
pre_test,A,100026,2,payment,1.4832371690974084,0
pre_test,A,100027,1,order_details,2.9610723764132856,0
pre_test,A,100028,1,order_details,5.459549279182049,0
pre_test,A,100028,2,payment,2.938405855512496,0
pre_test,A,100028,3,confirmation,0,1
pre_test,A,100029,1,order_details,5.5327785867830395,0
pre_test,A,100030,1,order_details,2.604311442557913,0
