test_flag,webflow_id,session_id,page_num,page_name,time_spent,completed_order_flag
pre_test,A,100001,1,order_details,3.568553556509507,0
pre_test,A,100002,1,order_details,4.0286699797490515,0
pre_test,A,100002,2,payment,1.7014658016980375,0
pre_test,A,100003,1,order_details,4.2785201988844594,0
pre_test,A,100003,2,payment,2.9126829911377317,0
pre_test,A,100004,1,order_details,0.12063670233043444,0
pre_test,A,100005,1,order_details,1.372083021801005,0
pre_test,A,100005,2,payment,1.596356446355824,0
pre_test,A,100006,1,order_details,3.6849642122152644,0
pre_test,A,100007,1,order_details,4.14972591008644,0
pre_test,A,100008,1,order_details,0.6823474243309198,0
pre_test,A,100008,2,payment,2.284922009469956,0
pre_test,A,100008,3,confirmation,0,1
pre_test,A,100009,1,order_details,3.230099738045428,0
pre_test,A,100010,1,order_details,2.8451908942412567,0
pre_test,A,100010,2,payment,0.2700045850952151,0
pre_test,A,100011,1,order_details,5.047291039626221,0
pre_test,A,100011,2,payment,0.9456489148556455,0
pre_test,A,100012,1,order_details,5.7785717843763775,0
pre_test,A,100012,2,payment,0.28751387556748154,0
pre_test,A,100013,1,order_details,3.0854607856899485,0
pre_test,A,100014,1,order_details,3.3969669065752957,0
pre_test,A,100015,1,order_details,0.6327226132031765,0
pre_test,A,100015,2,payment,0.33110338073534873,0
pre_test,A,100016,1,order_details,2.5436686643956166,0
pre_test,A,100016,2,payment,2.0918966669303685,0
pre_test,A,100016,3,confirmation,0,1
pre_test,A,100017,1,order_details,2.2393979461090754,0
pre_test,A,100017,2,payment,1.4733582109283114,0
pre_test,A,100018,1,order_details,3.834641093712695,0
pre_test,A,100019,1,order_details,5.048496159954768,0
pre_test,A,100020,1,order_details,1.6352580708826747,0
pre_test,A,100021,1,order_details,3.2839213485552365,0
pre_test,A,100021,2,payment,2.555553499734309,0
pre_test,A,100022,1,order_details,3.4100720353907352,0
pre_test,A,100022,2,payment,2.953012393285013,0
pre_test,A,100023,1,order_details,3.5527612709062355,0
pre_test,A,100023,2,payment,2.4703246707740685,0
pre_test,A,100023,3,confirmation,0,1
pre_test,A,100024,1,order_details,1.996697937447784,0
pre_test,A,100024,2,payment,0.9087793884520285,0
pre_test,A,100024,3,confirmation,0,1
pre_test,A,100025,1,order_details,2.5003970839262504,0
pre_test,A,100025,2,payment,0.9969656085018967,0
pre_test,A,100025,3,confirmation,0,1
pre_test,A,100026,1,order_details,4.285066228843834,0
pre_test,A,100026,2,payment,0.9813797694210664,0
pre_test,A,100027,1,order_details,5.699268032703607,0
pre_test,A,100028,1,order_details,3.3594648002395493,0
pre_test,A,100029,1,order_details,4.1661472344666155,0
pre_test,A,100030,1,order_details,3.154076766697241,0
pre_test,A,100030,2,payment,2.3527624943568743,0
pre_test,A,100031,1,order_details,4.4982889378713375,0
pre_test,A,100031,2,payment,2.1987138288710737,0
pre_test,A,100031,3,confirmation,0,1
pre_test,A,100032,1,order_details,4.052557755278139,0
pre_test,A,100032,2,payment,2.0125932267793885,0
pre_test,A,100032,3,confirmation,0,1
pre_test,A,100033,1,order_details,4.124987337368641,0
pre_test,A,100033,2,payment,2.34453652016159,0
pre_test,A,100034,1,order_details,2.7168723449114958,0
pre_test,A,100035,1,order_details,3.9986476452594903,0
pre_test,A,100036,1,order_details,5.43038366965256,0
pre_test,A,100037,1,order_details,4.8171463926727895,0
pre_test,A,100038,1,order_details,5.70317301969393,0
pre_test,A,100038,2,payment,1.1403058855488006,0
pre_test,A,100039,1,order_details,2.6716154111671733,0
pre_test,A,100039,2,payment,1.7024941156460627,0
pre_test,A,100039,3,confirmation,0,1
pre_test,A,100040,1,order_details,3.4277693203221893,0
pre_test,A,100041,1,order_details,3.9393228771492974,0
pre_test,A,100041,2,payment,2.1181904177920465,0
pre_test,A,100042,1,order_details,4.087757831735091,0
pre_test,A,100042,2,payment,2.038802639491293,0
pre_test,A,100042,3,confirmation,0,1
pre_test,A,100043,1,order_details,5.851858851923331,0
pre_test,A,100043,2,payment,2.0889236470634236,0
pre_test,A,100043,3,confirmation,0,1
pre_test,A,100044,1,order_details,3.385558312315107,0
pre_test,A,100044,2,payment,1.1133796105217062,0
pre_test,A,100044,3,confirmation,0,1
pre_test,A,100045,1,order_details,3.516326425899156,0
pre_test,A,100046,1,order_details,3.37403209042038,0
pre_test,A,100047,1,order_details,4.2389088393896754,0
pre_test,A,100048,1,order_details,5.000674587286451,0
pre_test,A,100048,2,payment,1.8309067691309577,0
pre_test,A,100048,3,confirmation,0,1
pre_test,A,100049,1,order_details,3.5389161313629334,0
pre_test,A,100050,1,order_details,3.1043312849419693,0
pre_test,A,100050,2,payment,1.3759930568188539,0
pre_test,A,100051,1,order_details,5.0830680721816695,0
pre_test,A,100051,2,payment,2.2634866483059257,0
pre_test,A,100052,1,order_details,5.8510197440498475,0
pre_test,A,100053,1,order_details,3.6181229385172955,0
pre_test,A,100053,2,payment,2.1420361952287124,0
pre_test,A,100054,1,order_details,0.743817891343113,0
pre_test,A,100054,2,payment,2.265342475221582,0
